,Event,Duration,Start Time,End Time,Start Epoch,End Epoch
232,NREM,30,02:27:00.000,02:27:30.000,1110,1111
233,NREM,30,02:27:30.000,02:28:00.000,1111,1112
234,NREM,30,02:28:00.000,02:28:30.000,1112,1113
235,NREM,30,02:28:30.000,02:29:00.000,1113,1114
236,NREM,30,02:29:00.000,02:29:30.000,1114,1115
237,NREM,30,02:29:30.000,02:30:00.000,1115,1116
238,NREM,30,02:30:00.000,02:30:30.000,1116,1117
239,NREM,30,02:30:30.000,02:31:00.000,1117,1118
240,NREM,30,02:31:00.000,02:31:30.000,1118,1119
241,NREM,30,02:31:30.000,02:32:00.000,1119,1120
242,NREM,30,02:32:00.000,02:32:30.000,1120,1121
243,NREM,30,02:32:30.000,02:33:00.000,1121,1122
244,NREM,30,02:33:00.000,02:33:30.000,1122,1123
245,NREM,30,02:33:30.000,02:34:00.000,1123,1124
246,REM,30,02:34:00.000,02:34:30.000,1124,1125
247,REM,30,02:34:30.000,02:35:00.000,1125,1126
248,REM,30,02:35:00.000,02:35:30.000,1126,1127
249,REM,30,02:35:30.000,02:36:00.000,1127,1128
250,REM,30,02:36:00.000,02:36:30.000,1128,1129
251,REM,30,02:36:30.000,02:37:00.000,1129,1130
252,REM,30,02:37:00.000,02:37:30.000,1130,1131
253,REM,30,02:37:30.000,02:38:00.000,1131,1132
254,REM,30,02:38:00.000,02:38:30.000,1132,1133
255,REM,30,02:38:30.000,02:39:00.000,1133,1134
256,REM,30,02:39:00.000,02:39:30.000,1134,1135
257,REM,30,02:39:30.000,02:40:00.000,1135,1136
258,REM,30,02:40:00.000,02:40:30.000,1136,1137
259,REM,30,02:40:30.000,02:41:00.000,1137,1138
260,REM,30,02:41:00.000,02:41:30.000,1138,1139
261,REM,30,02:41:30.000,02:42:00.000,1139,1140
262,REM,30,02:42:00.000,02:42:30.000,1140,1141
263,REM,30,02:42:30.000,02:43:00.000,1141,1142
264,REM,30,02:43:00.000,02:43:30.000,1142,1143
265,REM,30,02:43:30.000,02:44:00.000,1143,1144
266,REM,30,02:44:00.000,02:44:30.000,1144,1145
267,REM,30,02:44:30.000,02:45:00.000,1145,1146
268,REM,30,02:45:00.000,02:45:30.000,1146,1147
269,REM,30,02:45:30.000,02:46:00.000,1147,1148
270,REM,30,02:46:00.000,02:46:30.000,1148,1149
271,REM,30,02:46:30.000,02:47:00.000,1149,1150
272,REM,30,02:47:00.000,02:47:30.000,1150,1151
273,REM,30,02:47:30.000,02:48:00.000,1151,1152
274,REM,30,02:48:00.000,02:48:30.000,1152,1153
275,REM,30,02:48:30.000,02:49:00.000,1153,1154
276,REM,30,02:49:00.000,02:49:30.000,1154,1155
277,REM,30,02:49:30.000,02:50:00.000,1155,1156
278,REM,30,02:50:00.000,02:50:30.000,1156,1157
279,REM,30,02:50:30.000,02:51:00.000,1157,1158
280,REM,30,02:51:00.000,02:51:30.000,1158,1159
281,REM,30,02:51:30.000,02:52:00.000,1159,1160
282,REM,30,02:52:00.000,02:52:30.000,1160,1161
283,REM,30,02:52:30.000,02:53:00.000,1161,1162
284,REM,30,02:53:00.000,02:53:30.000,1162,1163
285,REM,30,02:53:30.000,02:54:00.000,1163,1164
286,REM,30,02:54:00.000,02:54:30.000,1164,1165
287,REM,30,02:54:30.000,02:55:00.000,1165,1166
288,REM,30,02:55:00.000,02:55:30.000,1166,1167
289,REM,30,02:55:30.000,02:56:00.000,1167,1168
290,REM,30,02:56:00.000,02:56:30.000,1168,1169
291,REM,30,02:57:00.000,02:57:30.000,1170,1171
292,REM,30,02:57:30.000,02:58:00.000,1171,1172
293,REM,30,02:58:00.000,02:58:30.000,1172,1173
294,NREM,30,02:58:30.000,02:59:00.000,1173,1174
295,NREM,30,02:59:00.000,02:59:30.000,1174,1175
296,NREM,30,02:59:30.000,03:00:00.000,1175,1176
297,NREM,30,03:00:00.000,03:00:30.000,1176,1177
298,NREM,30,03:00:30.000,03:01:00.000,1177,1178
299,NREM,30,03:01:00.000,03:01:30.000,1178,1179
300,NREM,30,03:01:30.000,03:02:00.000,1179,1180
301,NREM,30,03:02:30.000,03:03:00.000,1181,1182
302,NREM,30,03:03:00.000,03:03:30.000,1182,1183
303,NREM,30,03:03:30.000,03:04:00.000,1183,1184
304,NREM,30,03:04:00.000,03:04:30.000,1184,1185
305,NREM,30,03:04:30.000,03:05:00.000,1185,1186
306,NREM,30,03:05:00.000,03:05:30.000,1186,1187
307,NREM,30,03:05:30.000,03:06:00.000,1187,1188
308,NREM,30,03:06:00.000,03:06:30.000,1188,1189
309,NREM,30,03:06:30.000,03:07:00.000,1189,1190
310,NREM,30,03:07:00.000,03:07:30.000,1190,1191
311,NREM,30,03:07:30.000,03:08:00.000,1191,1192
312,NREM,30,03:08:00.000,03:08:30.000,1192,1193
313,NREM,30,03:08:30.000,03:09:00.000,1193,1194
314,NREM,30,03:09:00.000,03:09:30.000,1194,1195
315,NREM,30,03:09:30.000,03:10:00.000,1195,1196
316,NREM,30,03:10:00.000,03:10:30.000,1196,1197
317,NREM,30,03:10:30.000,03:11:00.000,1197,1198
318,NREM,30,03:11:00.000,03:11:30.000,1198,1199
319,NREM,30,03:11:30.000,03:12:00.000,1199,1200
320,NREM,30,03:12:00.000,03:12:30.000,1200,1201
321,NREM,30,03:12:30.000,03:13:00.000,1201,1202
322,NREM,30,03:13:00.000,03:13:30.000,1202,1203
323,NREM,30,03:13:30.000,03:14:00.000,1203,1204
324,NREM,30,03:14:00.000,03:14:30.000,1204,1205
325,NREM,30,03:14:30.000,03:15:00.000,1205,1206
326,NREM,30,03:15:00.000,03:15:30.000,1206,1207
327,NREM,30,03:15:30.000,03:16:00.000,1207,1208
328,NREM,30,03:16:00.000,03:16:30.000,1208,1209
329,NREM,30,03:16:30.000,03:17:00.000,1209,1210
330,NREM,30,03:17:00.000,03:17:30.000,1210,1211
331,NREM,30,03:17:30.000,03:18:00.000,1211,1212
332,NREM,30,03:18:00.000,03:18:30.000,1212,1213
333,NREM,30,03:18:30.000,03:19:00.000,1213,1214
334,NREM,30,03:19:00.000,03:19:30.000,1214,1215
335,NREM,30,03:19:30.000,03:20:00.000,1215,1216
336,NREM,30,03:20:00.000,03:20:30.000,1216,1217
337,NREM,30,03:20:30.000,03:21:00.000,1217,1218
338,NREM,30,03:21:00.000,03:21:30.000,1218,1219
339,NREM,30,03:21:30.000,03:22:00.000,1219,1220
340,NREM,30,03:22:00.000,03:22:30.000,1220,1221
341,NREM,30,03:22:30.000,03:23:00.000,1221,1222
342,NREM,30,03:23:00.000,03:23:30.000,1222,1223
343,NREM,30,03:23:30.000,03:24:00.000,1223,1224
344,NREM,30,03:24:00.000,03:24:30.000,1224,1225
345,NREM,30,03:24:30.000,03:25:00.000,1225,1226
346,NREM,30,03:25:00.000,03:25:30.000,1226,1227
347,NREM,30,03:25:30.000,03:26:00.000,1227,1228
348,NREM,30,03:26:00.000,03:26:30.000,1228,1229
349,NREM,30,03:26:30.000,03:27:00.000,1229,1230
350,NREM,30,03:27:00.000,03:27:30.000,1230,1231
351,NREM,30,03:27:30.000,03:28:00.000,1231,1232
352,NREM,30,03:28:00.000,03:28:30.000,1232,1233
353,NREM,30,03:28:30.000,03:29:00.000,1233,1234
354,NREM,30,03:29:00.000,03:29:30.000,1234,1235
355,NREM,30,03:29:30.000,03:30:00.000,1235,1236
356,NREM,30,03:30:00.000,03:30:30.000,1236,1237
357,NREM,30,03:30:30.000,03:31:00.000,1237,1238
358,NREM,30,03:31:00.000,03:31:30.000,1238,1239
359,NREM,30,03:31:30.000,03:32:00.000,1239,1240
360,NREM,30,03:32:00.000,03:32:30.000,1240,1241
361,NREM,30,03:32:30.000,03:33:00.000,1241,1242
362,NREM,30,03:33:00.000,03:33:30.000,1242,1243
363,NREM,30,03:33:30.000,03:34:00.000,1243,1244
364,NREM,30,03:34:00.000,03:34:30.000,1244,1245
365,NREM,30,03:34:30.000,03:35:00.000,1245,1246
366,NREM,30,03:35:00.000,03:35:30.000,1246,1247
