Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
N2,30,57:30.0,58:00.0,931,932,
N2,30,58:00.0,58:30.0,932,933,
Movement,3.05,58:14.3,58:17.3,932,932,
LM,2.235,58:15.4,58:17.7,932,932,
LM,1.65,58:16.0,58:17.6,932,932,
N2,30,58:30.0,59:00.0,933,934,
N2,30,59:00.0,59:30.0,934,935,
N2,30,59:30.0,00:00.0,935,936,
N2,30,00:00.0,00:30.0,936,937,
LM,2.3,00:04.0,00:06.3,936,936,
LM,1.55,00:04.2,00:05.8,936,936,
Movement,1.8,00:04.3,00:06.1,936,936,
N2,30,00:30.0,01:00.0,937,938,
N2,30,01:00.0,01:30.0,938,939,
N2,30,01:30.0,02:00.0,939,940,
N2,30,02:00.0,02:30.0,940,941,
LM,2.455,02:25.4,02:27.8,940,940,
LM,1.655,02:25.5,02:27.2,940,940,
Movement,1.15,02:26.2,02:27.4,940,940,
Wake,30,02:30.0,03:00.0,941,942,
N2,30,03:00.0,03:30.0,942,943,
N2,30,03:30.0,04:00.0,943,944,
N2,30,04:00.0,04:30.0,944,945,
LM,1.789,04:11.6,04:13.3,944,944,
LM,1.785,04:13.0,04:14.8,944,944,
Movement,1.05,04:13.2,04:14.2,944,944,
N2,30,04:30.0,05:00.0,945,946,
N2,30,05:00.0,05:30.0,946,947,
N2,30,05:30.0,06:00.0,947,948,
LM,1.81,05:53.7,05:55.5,947,947,
PLM,366.856,05:53.7,12:00.6,947,960,
Movement,1.55,05:54.6,05:56.1,947,947,
LM,0.965,05:55.7,05:56.7,947,947,
N2,30,06:00.0,06:30.0,948,949,
N2,30,06:30.0,07:00.0,949,950,
LM,1.53,06:48.6,06:50.1,949,949,
N2,30,07:00.0,07:30.0,950,951,
N2,30,07:30.0,08:00.0,951,952,
LM,2.534,07:30.7,07:33.2,951,951,
LM,1.205,07:32.3,07:33.5,951,951,
N2,30,08:00.0,08:30.0,952,953,
N2,30,08:30.0,09:00.0,953,954,
LM,1.965,08:40.6,08:42.6,953,953,
Movement,1.3,08:40.9,08:42.2,953,953,
LM,1.905,08:41.0,08:42.9,953,953,
N2,30,09:00.0,09:30.0,954,955,
N2,30,09:30.0,10:00.0,955,956,
N2,30,10:00.0,10:30.0,956,957,
